route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
563170,4734454178002219922,RB 71 Saartal-Bahn,,,2,https://www.openstreetmap.org/relation/563170,,
566131,4734454178002219922,RB 77 Nied-Bahn,,,2,https://www.openstreetmap.org/relation/566131,,
576101,-1,314,,,3,https://www.openstreetmap.org/relation/576101,,
576112,-1,R9,Saarbrücken-to-Lebach,,3,https://www.openstreetmap.org/relation/576112,,
721798,-1,330,Hüttigweiler Apotheke-to-Saarbrücken Hauptbahnhof,,3,https://www.openstreetmap.org/relation/721798,,
721825,-1,350,Illingen Bahnhof-to-Ottweiler Bahnhof,,3,https://www.openstreetmap.org/relation/721825,,
721826,-1,353,,,3,https://www.openstreetmap.org/relation/721826,,
812298,-1,307,Schiffweiler Rathaus-to-Lansdweiler Reden Bahnhof,,3,https://www.openstreetmap.org/relation/812298,,
812456,-1,302,Neunkirchen-to-Hanauer Mühle/Ottweiler Tulpenweg,,3,https://www.openstreetmap.org/relation/812456,,
812457,-1,304,Wellesweiler Friedhof/Wellesweiler Hirschbergsiedlung-to-Breitenbach Wendeplatz,,3,https://www.openstreetmap.org/relation/812457,,
812655,-1,303,Neunkirchen Stummdenkmal-to-Oberbexbach Markt,,3,https://www.openstreetmap.org/relation/812655,,
812761,-1,305,Neunkirchen Hauptbahnhof-to-Furpach Zentralfriedhof,,3,https://www.openstreetmap.org/relation/812761,,
812782,-1,310,Neunkirchen Hauptbahnhof-to-Neunkurchen „Die Lakai“,,3,https://www.openstreetmap.org/relation/812782,,
906823,-1,R3,Lebach-to-Wadern,,3,https://www.openstreetmap.org/relation/906823,,
909981,-1,311,,,3,https://www.openstreetmap.org/relation/909981,,
910005,-1,312,Neunkirchen Biedersberg-to-Neunkirchen Storchenplatz,,3,https://www.openstreetmap.org/relation/910005,,
910012,-1,315,Furpach Zentralfriedhof-to-Homburg Uniklinik,,3,https://www.openstreetmap.org/relation/910012,,
910889,-1,316,Neunkirchen Stummdenkmal-to-Wiebelskirchen Wibilohaus,,3,https://www.openstreetmap.org/relation/910889,,
911939,-1,134,Rastpfuhl Bernkasteler Platz-to-Dellbrückschacht,,3,https://www.openstreetmap.org/relation/911939,,
913740,-1,110,Rathaus-to-Völklingen Weltkulturerbe,,3,https://www.openstreetmap.org/relation/913740,,
918464,-1,130,Römerkastell-to-Nachtweide,,3,https://www.openstreetmap.org/relation/918464,,
918476,-1,131,Brebach Bahnhof-to-Bübinger Berg,,3,https://www.openstreetmap.org/relation/918476,,
919401,-1,308,Wemmetsweiler Kirche-to-Illingen Bahnhof,,3,https://www.openstreetmap.org/relation/919401,,
919490,-1,318,Wemmetsweiler Drosselweg-to-Merchweiler Bahnhof,,3,https://www.openstreetmap.org/relation/919490,,
